#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
"1363","Hindutva extremists disrupted the prayer meeting, beating Pastor and the believers and took five of them to the police station in Mau","2019-02-24 17:18:00","Mau, Uttar Pradesh, India","On 24th February 2019, Hindutva extremists disrupted the prayer meeting, beating Pastor and the believers and took five of them to the police station in Mau, Uttar Pradesh.

During the church service few hindutva extremists barged in to the prayer meeting and disrupted the meeting and started to beat up Pastor and believers. They took five of them along with Pastor to the police station and later believers were released but they held Pastor in the station.","Physical violence,Intimidation/Threats,Complicity of authorities,Restrictions on religious assembly,Women,Children","26.046856","83.437243",YES,YES,
"1360","Hindutva extremists barged in to the prayer meeting and brutally beaten up the members of the church and misbehaved with the ladies in Palghar","2019-02-24 15:45:00","Palghar, Thane, Maharashtra, 401400, India","On 24th February 2019, Hindutva extremists barged in to the prayer meeting and brutally beaten up the members of the church and misbehaved with the ladies in Virar East of Palghar Dist of Maharastra.

A mob of hindutva extremists barged in to the prayer meeting and started to beat up the believers and misbehaved with ladies. They stopped the entire service and they created fear among the believers.

Christians went to the police station to register a complaint but gret number of hindutva extremists were present there. Police spoke to the extremists and then to Christians. Christians file a complaint against the extremists FIR No. : 0180, Dt. 24/02/19","Physical violence,Damage or desecration of religious property or symbols,Intimidation/Threats,Restrictions on religious assembly,Women,Children","19.697875","72.768694",YES,YES,
"1359","Hindutva extremists disrutped the worship service, stopped forcefully and threatened with dire consequences in Ahmedabad","2019-02-23 15:37:00","Ahmedabad, Ahmedabad District, Gujarat, 380001, India","On 23rd February 2019, Hindutva extremists disrutped the worship service, stopped forcefully and threatened with dire consequences in Ahmedabad, Gujarat.

Pastor is been conducting the Bible studies, Worship service.During the prayer meeting few hindutva extremists barged in to the meeting and stopped them and threatened them not to continue any church activities.","Intimidation/Threats,Restrictions on religious assembly,Women,Children","23.021624","72.579707",YES,YES,
"1349","Hindutva extremists destroyed Gideon books stall, threatened them and took away entire New Testament in Agra","2019-02-22 10:08:00","Agra, Uttar Pradesh, 280001, India","On 22nd February 2019, Hindutva extremists destroyed Gideon books stall, threatened them and took away entire New Testament in Agra, Uttar Pradesh.


The Gideon stall at Agra college was attacked by the hindutva extremists and the extremists took away entire New Testament and threatened the representative with dire consequences if they continue to do so.","Damage or desecration of religious property or symbols,Intimidation/Threats,Restrictions on religious assembly,Women","27.175255","78.009816",YES,YES,
"1350","Village council gave an ultimatum to leave their Christian faith and if not they will be boycott from the village in Bastar","2019-02-19 10:16:00","Bastar, Chhattisgarh, India","On 19th February 2019, Village council gave an ultimatum to leave their Christian faith and if not they will be boycott from the village in Bastar, Chattisgarh.

The Village council called a meeting and decided to boycott Christians from the village and warned the Christians to renounce their faith in Christ and to worship the hindu god and goddess. Also decided to not to allow the Christians to take water from public tap / well, daily ratio, caste &amp; residence certificate and cultivate in any of the field and to decided to take off their names from the register and take off all the benefits from the village.

Christians are struggling for water and other essential things from the village.","Intimidation/Threats,Complicity of authorities,Restrictions on religious assembly,Restricting access to public spaces and utilities,Tribal,Women,Children","19.398387","81.490661",YES,YES,
"1354","Hindutva extremists along with the police personnel disrupted the opening ceremony of the church in Robertsganj","2019-02-18 12:52:00","Sonbhadra, Uttar Pradesh, India","On 18th February 2019, Hindutva extremists along with the police personnel disrupted the opening ceremony of the church in Robertsganj, Sonbhadra, Uttar Pradesh.

Bishop, Pastor and believers gathered together for an opening ceremony of the church. A group of hindutva extremists along with police personnel barged in to the meeting and disrupted the meeting and shouted anti Christian slogans later they went away.","Intimidation/Threats,Complicity of authorities,Restrictions on religious assembly,Women,Children","24.394383","83.072477",YES,YES,
"1353","Believer denied in giving donation to the Hindu festival and he was threatened by the hindutva extremists in Ranchi","2019-02-18 12:01:00","Khunti, Ranchi, Jharkhand, 835210, India","On 18th February 2019, Believer denied in giving donation to the Hindu festival and he was threatened by the hindutva extremists in Khunti,  Ranchi, Jharkhand

Villagers forced a believer's family to renounce his faith in Christ because he didn't give a donation for the hindu pooja. Hindutva extremists threatened the family with dire consequences and warned them that they will be boycotted from any access to the village.","Intimidation/Threats,Restrictions on religious assembly,Restricting access to public spaces and utilities,Tribal,Women,Children","23.077096","85.280046",YES,YES,
"1355","Believer woman is being threaten by her hard core hindutva husband and forcing her to renouce Christian faith in Baddi Solan.","2019-02-17 13:00:00","Baddi, Solan, Himachal Pradesh, India","On 17th February 2019, Believer woman is being threaten by her hard core hindutva husband and forcing her to renounce Christian faith in Baddi Solan, Himachal Pradesh.

Christian woman is being following Christ for the past two years and her husband who is a hardcore hindutva force her to renounce her faith in Christ and he is being threatening frequently","Intimidation/Threats,Restrictions on religious assembly,Women","30.933998","76.806307",YES,YES,
"1352","Naxalite killed a business Christian man informed by the hindutva extremists that he was converting people in to Christianity in Narayanpur","2019-02-17 11:10:00","Narayanpur, Bastar, Chhattisgarh, 494661, India","On 17th February 2019, Naxalite killed a business Christian man informed by the hindutva extremists that he was converting people in to Christianity in Kokhameta, Narayanpur, Chattigarh.

It was informed that a believer used to preach the Gospel and he was also a business man in that area. The hindutva extremists gave an false allegation of forceful conversion and also told to the Naxalite that he was an informer to the police. Therefore the naxalite shot him and killed and he was left with his wife and five children.","Murder,Intimidation/Threats,Women,Children","19.719153","81.244411",YES,YES,
"1351","Hindutva extremists burnt down the church door and made panic among the Christian community in Trichy","2019-02-17 10:49:00","Trichy, Tiruchchirāppalli, Tiruchchirappalli district, Tamil Nadu, 620001, India","On 17th February 2019, Hindutva extremists burnt down the church door and made panic among the Christian community in Koothur, Manachanallur of Trichy District, Tamil Nadu.

After the Sunday worship service, the extremists burnt down the church door and the Christians made a complaint but the authorities were not available to take complaint. The Christians are in a panic.","Damage or desecration of religious property or symbols,Intimidation/Threats,Complicity of authorities,Restrictions on religious assembly,Women,Children","10.804973","78.686904",YES,YES,
